FID,Name,Class,County,State,Latitude,Longitude
1432894,Squaw Spring,Spring,Emery,Utah,39.20679747,-110.6404632
1432895,Squaw Springs,Spring,Box Elder,Utah,41.32111987,-112.4956122
1434118,West Squaw Draw,Valley,Uintah,Utah,39.6799651,-109.7348595
1434869,Squaw Canyon,Valley,Kane,Utah,37.13461734,-111.4972769
1434957,Squaw Spring,Spring,San Juan,Utah,38.14239547,-109.7940724
1437691,Squaw Crossing,Crossing,Uintah,Utah,39.9688538,-109.6693036
1446066,Squaw Basin,Basin,Duchesne,Utah,40.6360564,-110.6651648
1446067,Squaw Basin Creek,Stream,Duchesne,Utah,40.6388342,-110.6759984
1446068,Squaw Bench,Bench,Kane,Utah,37.4641502,-112.176582
1446069,Squaw Canyon,Valley,Washington,Utah,37.37819928,-113.4796626
1446070,Squaw Creek,Stream,Kane,Utah,37.4652615,-112.138247
1446071,Squaw Creek,Stream,Wasatch,Utah,40.1244002,-111.1701701
1446072,Squaw Creek,Stream,Morgan,Utah,41.2421653,-111.3471396
1446073,Squaw Creek,Stream,Duchesne,Utah,40.4074475,-110.7723842
1446074,Squaw Flat,Flat,Cache,Utah,41.6682697,-111.5327101
1446075,Squaw Hollow,Valley,Sevier,Utah,38.80305696,-111.6842896
1446076,Squaw Hollow,Valley,Utah,Utah,40.34810722,-111.69292
1446077,Squaw Hollow,Valley,Iron,Utah,37.7669211,-112.897445
1446078,Squaw Lake,Lake,Duchesne,Utah,40.65785635,-110.656014
1446079,Squaw Ledge,Bench,Sevier,Utah,38.8527439,-111.8638114
1446080,Squaw Mountain,Summit,Utah,Utah,40.2718939,-111.6166615
1446081,Squaw Pass,Gap,"Summit, Duchesne",Utah,40.7655,-110.5065519
1446082,Squaw Peak,Summit,Duchesne,Utah,40.70018559,-110.6433598
1446083,Squaw Spring,Spring,Sanpete,Utah,39.60899361,-111.6631292
1446084,Squaw Spring,Spring,Uintah,Utah,40.59519607,-109.5635909
1446085,Squaw Spring,Spring,Uintah,Utah,40.5994992,-109.8204838
1446086,Squaw Spring,Spring,Uintah,Utah,40.63528287,-109.3348734
1449056,Squaw Water Hole,Lake,San Juan,Utah,37.65299401,-109.8184215
1449057,Squaw Water Spring,Spring,San Juan,Utah,37.6586049,-109.8312426
1449930,Squaw Spring,Spring,San Juan,Utah,38.44983167,-109.2924689
1450214,Squaw and Papoose Rock,Pillar,San Juan,Utah,37.8416557,-110.2140251
1454627,Squaw Butte,Summit,San Juan,Utah,38.15614464,-109.7767554
1508658,Squaw Canyon,Valley,Lincoln,Washington,47.7371031,-118.0371921
1508664,Squaw Island,Island,Clark,Washington,45.8490036,-122.7787134
1508665,Squaw Peak,Summit,Columbia,Washington,46.03038312,-117.8917117
1508667,Squaw Spring,Spring,Garfield,Washington,46.12402813,-117.5864542
1509698,Squaw Lake,Lake,Skamania,Washington,45.67364268,-121.9319778
1511562,Squaw Creek,Stream,Clallam,Washington,48.0345178,-124.5327166
1512688,Squaw Mountain,Summit,Okanogan,Washington,48.184044,-119.0616954
1526448,Squaw Butte,Summit,Skamania,Washington,46.11705411,-121.8023157
1526449,Squaw Creek,Stream,Skamania,Washington,46.3356716,-121.671474
1526450,Squaw Creek,Stream,Stevens,Washington,48.8951884,-117.82693
1526452,Squaw Creek,Stream,Jefferson,Washington,47.6353655,-123.6451799
1526454,Squaw Creek,Stream,Okanogan,Washington,48.570437,-119.0044795
1526455,Squaw Creek Ridge,Ridge,"Chelan, Okanogan",Washington,48.05755701,-120.130789
1526456,Squaw Islands,Island,Klickitat,Washington,45.648454,-121.1981269
1526457,Squaw Lake,Lake,Pierce,Washington,46.78622112,-121.8335658
1526458,Squaw Lake,Lake,Kittitas,Washington,47.53478447,-121.1139651
1526459,Squaw Lake,Lake,Chelan,Washington,47.83344322,-120.8236184
1526461,Squaw Valley,Valley,Pend Oreille,Washington,48.48091604,-117.0500712
1574752,Squaw Bay,Bay,Sawyer,Wisconsin,45.7219002,-91.4965521
1574756,Squaw Creek,Stream,Menominee,Wisconsin,45.0255304,-88.775662
1574757,Squaw Creek,Stream,Langlade,Wisconsin,45.3266324,-88.9459444
1574758,Squaw Creek,Stream,Forest,Wisconsin,45.471907,-89.0253927
1574759,Squaw Creek,Stream,Lincoln,Wisconsin,45.5488458,-89.4915196
1574761,Squaw Creek,Stream,Marinette,Wisconsin,45.4496912,-87.8434478
1574762,Squaw Creek,Stream,"Price, Lincoln",Wisconsin,45.455521,-89.9740331
1574764,Squaw Creek,Stream,Jackson,Wisconsin,44.2621831,-90.871531
1574765,Squaw Creek,Stream,"Marathon, Wood",Wisconsin,44.693297,-90.0626301
1574768,Squaw Island,Island,Door,Wisconsin,44.8349947,-87.5562095
1574769,Squaw Lake,Lake,Outagamie,Wisconsin,44.27639869,-88.69665761
1574770,Squaw Lake,Lake,Marinette,Wisconsin,45.29583436,-88.22816443
1574771,Squaw Lake,Lake,Langlade,Wisconsin,45.32260999,-89.20823762
1574772,Squaw Lake,Lake,Lincoln,Wisconsin,45.5337938,-89.48284034
1574775,Squaw Mound,Summit,Jackson,Wisconsin,44.2860727,-90.6648592
1574777,Squaw Point,Cape,Bayfield,Wisconsin,46.8813206,-91.0893533
1576667,White Squaw Lake,Lake,Vilas,Wisconsin,46.1113393,-89.4095866
1579715,Little Squaw Lake,Lake,Oconto,Wisconsin,45.06011582,-88.25297972
1580516,Squaw Creek,Stream,Price,Wisconsin,45.7080141,-90.3984853
1580519,Squaw Creek,Stream,Ashland,Wisconsin,46.2663405,-90.7082387
1580520,Squaw Lake,Lake,Oconto,Wisconsin,45.06535503,-88.24806484
1580849,Squaw Creek,Stream,Bayfield,Wisconsin,46.8785429,-91.0646315
1581733,Squaw Lake,Lake,St. Croix,Wisconsin,45.18082946,-92.61542179
1594741,South Squaw Creek,Stream,Campbell,Wyoming,44.7135941,-105.6455617
1594940,Squaw Butte,Summit,Fremont,Wyoming,43.0591256,-107.8289705
1594941,Squaw Butte,Summit,Campbell,Wyoming,44.78434125,-105.2469642
1594942,Squaw Butte,Summit,Sheridan,Wyoming,44.8899868,-106.2253094
1594943,Squaw Buttes,Summit,Crook,Wyoming,44.8072069,-104.544958
1594944,Squaw Creek,Stream,Teton,Wyoming,43.3818731,-110.7404796
1594945,Squaw Creek,Stream,Natrona,Wyoming,42.8096869,-106.3794728
1594946,Squaw Creek,Stream,Campbell,Wyoming,44.683316,-105.5794481
1594947,Squaw Creek,Stream,Sheridan,Wyoming,44.8447075,-106.1139148
1594949,Squaw Hill,Summit,Platte,Wyoming,41.8016389,-105.0299737
1594950,Squaw Lake,Lake,Fremont,Wyoming,42.88329151,-109.1216754
1594951,Squaw Mountain,Summit,Platte,Wyoming,41.9249713,-105.2305358
1594952,Squaw Peak,Summit,Park,Wyoming,44.90176377,-109.7967243
1594953,Squaw Rock,Summit,Platte,Wyoming,41.9249713,-105.2305358
1594954,Squaw Teat,Summit,Sublette,Wyoming,42.3605087,-109.2454025
1594955,Squaw Teat Butte,Summit,Hot Springs,Wyoming,43.7798565,-108.989108
1594956,Squaw Teats,Summit,Park,Wyoming,44.10947,-108.57647
1599499,East Fork Squaw Creek,Stream,Sublette,Wyoming,42.5974512,-109.2248492
1601412,Middle Fork Squaw Creek,Stream,Sublette,Wyoming,42.600229,-109.2248492
1603298,Squaw Basin,Basin,Teton,Wyoming,43.7427263,-110.1146291
1603299,Squaw Canyon,Valley,Teton,Wyoming,43.51795469,-111.0020607
1603300,Squaw Creek,Stream,Albany,Wyoming,41.1263633,-106.065288
1603301,Squaw Creek,Stream,"Natrona, Carbon",Wyoming,42.3613539,-106.1383502
1603302,Squaw Creek,Stream,Sublette,Wyoming,42.5721728,-109.2806836
1603303,Squaw Creek,Stream,Fremont,Wyoming,42.848014,-108.734284
1603304,Squaw Creek,Stream,Lincoln,Wyoming,43.1424233,-110.9332625
1603305,Squaw Creek,Stream,Teton,Wyoming,43.3927052,-110.8065939
1603306,Squaw Creek,Stream,"Teton, Fremont",Wyoming,43.6405022,-110.1365718
1603307,Squaw Creek,Stream,Washakie,Wyoming,44.1160726,-107.2595127
1603308,Squaw Creek,Stream,Park,Wyoming,44.3463423,-109.0984761
1603309,Squaw Creek,Stream,Park,Wyoming,44.8813338,-109.655172
1603310,Squaw Flat,Flat,Lincoln,Wyoming,43.1415901,-110.9324292
1603311,Squaw Fork Canyon,Valley,Lincoln,Wyoming,43.14289821,-110.9381169
1603312,Squaw Hollow (historical),Populated Place,Sweetwater,Wyoming,41.1635727,-109.5604184
1603313,Squaw Mountain,Summit,Converse,Wyoming,42.49338771,-105.8442236
1603315,Squaw Peaks,Summit,Converse,Wyoming,42.34238876,-105.4177788
1603316,Squaw Place,Populated Place,Albany,Wyoming,42.3699671,-105.7038878
1603317,Squaw Spring,Spring,Natrona,Wyoming,42.46253987,-106.0813075
1604476,South Fork Squaw Creek,Stream,Fremont,Wyoming,42.7810685,-108.8540099
1604491,Squaw Hollow,Valley,Sweetwater,Wyoming,41.17510253,-109.5734302
1604531,West Fork Squaw Creek,Stream,Sublette,Wyoming,42.5974512,-109.2248492
1605109,Squaw Canyon,Valley,Carbon,Wyoming,41.5655165,-107.5092308
1605139,Squaw Rock,Summit,Goshen,Wyoming,41.6716401,-104.263846
1620587,Little Squaw Creek,Stream,Delta,Michigan,45.7852467,-86.9701373
1621748,Squaw Creek,Stream,Delta,Michigan,45.795246,-86.9854152
1621749,Squaw Creek,Stream,Alger,Michigan,46.2421763,-86.6640423
1621750,Squaw Lake,Lake,Lake,Michigan,44.12041928,-86.01206702
1621751,Squaw Lake,Lake,Iron,Michigan,46.11773863,-88.92517901
1621752,Squaw Lake,Lake,Alger,Michigan,46.22403366,-86.67636904
1621753,Squaw Ponds,Lake,Alger,Michigan,46.2399541,-86.6698755
1628289,Squaw Bayou,Stream,St. Landry,Louisiana,30.7618544,-91.8112265
1646886,Squawberry,Populated Place,Carter,Tennessee,36.1306762,-82.0692877
1654967,Squaw Valley,Valley,Plumas,California,39.97819586,-120.4075412
1659849,Squaw Hill,Populated Place,Tehama,California,39.9079358,-122.0930416
1659850,Squaw Hill,Summit,Mariposa,California,37.46215589,-119.7577331
1659851,Squaw Rock,Summit,Mendocino,California,38.86978011,-123.420063
1659852,Squaw Rock,Summit,Mendocino,California,38.91254668,-123.0559058
1659853,Squaw Valley,Populated Place,Fresno,California,36.7402261,-119.246785
1661497,Squaw Hill,Summit,Riverside,California,33.83562133,-116.3079059
1661498,Squaw Tit,Summit,San Diego,California,32.65037763,-116.1379525
1665285,Squaw Prairie,Area,Humboldt,California,41.0870713,-123.8831188
1665286,Squaw Tit,Summit,Humboldt,California,41.07382939,-123.98189
1665432,Squaw Camp Spring,Spring,Trinity,California,40.7145874,-123.1316972
1670250,Squaw Hill Ferry (historical),Crossing,Tehama,California,39.9090469,-122.0916528
1768302,Squaw Creek Reservoir,Reservoir,Dawes,Nebraska,42.67547255,-103.3759475
1792217,Lower Squaw Creek Flowage,Reservoir,Price,Wisconsin,45.78689302,-90.3503488
1792926,Squaw Creek Flowage 6,Reservoir,Price,Wisconsin,45.80341447,-90.3407359
1793153,Squaw Mound Flowage,Reservoir,Jackson,Wisconsin,44.28283694,-90.6555627
1803754,Squaw Creek,Stream,Mayes,Oklahoma,36.352808,-95.305624
1847440,Squaw Creek Tank,Reservoir,Catron,New Mexico,33.47929763,-107.9593345
1863319,Squaw Creek Reservoir,Reservoir,"Hood, Somervell",Texas,32.2884749,-97.7603064
2069951,Squaw Lake,Lake,Pine,Minnesota,45.8122222,-92.9605556
2109219,Squaw Brook,Stream,Barry,Michigan,42.52,-85.1613889
2395945,City of Squaw Lake,Civil,Itasca,Minnesota,47.62748778,-94.13813921
2408799,Squaw Valley Census Designated Place,Census,Fresno,California,36.69978551,-119.1993586
2507567,Squaw Ridge,Ridge,Josephine,Oregon,42.33138345,-123.6665973
2784727,Squaw Lake,Lake,Waushara,Wisconsin,44.048,-89.2429
2803763,Squaw Canyon Springs,Spring,Plumas,California,40.0813543,-120.4815071
0,South Squaw Creek,Stream,"Marathon, Wood",Wisconsin,44.700164,-90.034936
1,Squaw Meadows,Flat,Valley,Idaho,45.1643431,-115.997068
